2017-04-24 21:51:42,499 [main] WARN  org.apache.flume.api.NettyAvroRpcClient -2 - logId[[][]] - Using default maxIOWorkers
2017-04-24 21:51:43,067 [main] INFO  org.springframework.web.context.ContextLoader 304 - logId[[][]] - Root WebApplicationContext: initialization started
2017-04-24 21:51:43,167 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext 582 - logId[[][]] - Refreshing Root WebApplicationContext: startup date [Mon Apr 24 21:51:43 CST 2017]; root of context hierarchy
2017-04-24 21:51:43,234 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 - logId[[][]] - Loading XML bean definitions from class path resource [spring/spring-data.xml]
2017-04-24 21:51:43,610 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 - logId[[][]] - Loading XML bean definitions from class path resource [spring/spring-mvc.xml]
2017-04-24 21:51:44,331 [main] INFO  o.s.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 155 - logId[[][]] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-04-24 21:51:51,125 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/index]}" onto public java.lang.String com.wdm.controller.IndexController.index()
2017-04-24 21:51:51,129 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/redis/{key}],methods=[GET]}" onto public com.wdm.controller.vo.Response com.wdm.controller.IndexController.getCache(java.lang.String)
2017-04-24 21:51:51,130 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/]}" onto public java.lang.String com.wdm.controller.IndexController.home()
2017-04-24 21:51:51,130 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/json]}" onto public com.wdm.controller.vo.Response com.wdm.controller.IndexController.json()
2017-04-24 21:51:51,130 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/redis/{key}/{value}],methods=[POST]}" onto public com.wdm.controller.vo.Response com.wdm.controller.IndexController.setCache(java.lang.String,java.lang.String)
2017-04-24 21:51:51,144 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/user/{id}],methods=[GET]}" onto public com.wdm.controller.vo.Response com.wdm.controller.UserController.get(java.lang.Integer)
2017-04-24 21:51:51,145 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/user/{id}],methods=[POST]}" onto public com.wdm.controller.vo.Response com.wdm.controller.UserController.update(java.lang.Integer,com.wdm.model.User)
2017-04-24 21:51:51,146 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/user/insert],methods=[POST]}" onto public com.wdm.controller.vo.Response com.wdm.controller.UserController.insert(com.wdm.model.User)
2017-04-24 21:51:51,146 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping 543 - logId[[][]] - Mapped "{[/user/json]}" onto public com.wdm.controller.vo.Response com.wdm.controller.UserController.json() throws java.sql.SQLException
2017-04-24 21:51:51,799 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter 534 - logId[[][]] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Mon Apr 24 21:51:43 CST 2017]; root of context hierarchy
2017-04-24 21:51:51,888 [main] INFO  o.s.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter 534 - logId[[][]] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Mon Apr 24 21:51:43 CST 2017]; root of context hierarchy
2017-04-24 21:51:52,238 [main] INFO  org.springframework.web.context.ContextLoader 344 - logId[[][]] - Root WebApplicationContext: initialization completed in 9171 ms
2017-04-24 21:51:52,379 [main] INFO  org.springframework.web.servlet.DispatcherServlet 489 - logId[[][]] - FrameworkServlet 'spring': initialization started
2017-04-24 21:51:52,383 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext 582 - logId[[][]] - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Mon Apr 24 21:51:52 CST 2017]; parent: Root WebApplicationContext
2017-04-24 21:51:52,384 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 - logId[[][]] - Loading XML bean definitions from class path resource [spring/spring-servlet.xml]
2017-04-24 21:51:52,475 [main] INFO  org.springframework.web.servlet.DispatcherServlet 508 - logId[[][]] - FrameworkServlet 'spring': initialization completed in 96 ms
2017-04-24 21:52:05,622 [qtp817406040-41] WARN  org.springframework.web.servlet.PageNotFound 1172 - logId[[][]] - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'spring'
